"Symbol","US Trading Venue","Trading Date","OTC Tier","Caveat Emptor","Security Type","Security Class","Security Name","Country of Domicile","Company Name"
"ACXA","OTC Link","05/02/2017","OTCQB","N","Common Stock","","ACCUREXA INC","USA","Accurexa Inc."
"ACXIF","OTC Link","05/02/2017","OTC Pink Current","N","Ordinary Shares","","ACCIONA SA","Spain","Acciona S.A."
"ADAC","OTC Link","05/02/2017","OTC Pink Current","N","Common Stock","","ADAMA TECHS CORP","Canada","Adama Technologies Corp."
"ADAD","OTC Link","05/02/2017","OTC Pink Current","N","Common Stock","","ADAIAH DISTR INC","Latvia","Adaiah Distribution Inc."
"ADAT","OTC Link","05/02/2017","OTC Pink Limited","N","Common Stock","","AUTHENTIDATE HLDG CP NEW","USA","AuthentiDate Holding Corp."
"ADBCF","OTC Link","05/02/2017","OTC Pink Current","N","Ordinary Shares","","ADELAIDE BRIGHTON LTD","Australia","Adelaide Brighton Ltd."
"ADCC","OTC Link","05/02/2017","OTC Pink No Information","N","Common Stock","","SAVENERGY HOLDINGS INC","USA","Savenergy Holdings, Inc."
"ADCF","OTC Link","05/02/2017","OTC Pink Limited","N","Common Stock","","ADVANCED DEFENSE TECHS","USA","Advanced Defense Technologies, Inc."
"ADDC","OTC Link","05/02/2017","OTC Pink No Information","N","Common Stock","","ADDMASTER CORP","USA","Addmaster Corp."
"ADDDF","OTC Link","05/02/2017","OTCQX International Premier","N","Ordinary Shares","","ADIDAS AG ORD","Germany","adidas AG"
"ADDYY","OTC Link","05/02/2017","OTCQX International Premier","N","American Depository Receipts","","ADIDAS AG S/ADR","Germany","adidas AG"
"ADERY","OTC Link","05/02/2017","OTC Pink Current","N","American Depository Receipts","","AIDA ENGINEERING LTD ADR","Japan","Aida Engineering Co., Ltd."
"ADEXF","OTC Link","05/02/2017","OTC Pink Current","N","Ordinary Shares","","ADVANCED EXPLORATIONS INC","Canada","Advanced Explorations Inc."
"ADFI","OTC Link","05/02/2017","OTCQB","N","Common Stock","","ASIAN DEV FRONTIER INC","Thailand","Asian Development Frontier Inc."
"ADFS","OTC Link","05/02/2017","OTC Pink No Information","N","Common Stock","","AMERICAN DEFENSE SYS INC","USA","American Defense Systems, Inc."
"ADFT","OTC Link","05/02/2017","OTC Pink No Information","N","Common Stock","","ADFITECH INC","USA","Adfitech, Inc."
